#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Apr 20 17:46:50 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       mux_map.ncd
#OUTPUT FILE:      mux_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
T5,inp4<23>,IOB,IO_L12P_T1_MRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
T6,inp1<14>,IOB,IO_L23N_T3_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
T7,,,GND,,,,,,,,,,,,
T8,inp1<16>,IOB,IO_L24N_T3_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
T9,out<31>,IOB,IO_L24P_T3_A01_D17_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T10,inp3<0>,IOB,IO_L24N_T3_A00_D16_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
T11,out<21>,IOB,IO_L19P_T3_A10_D26_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T12,,,VCCO_14,,,14,,,,,1.80,,,,
T13,out<29>,IOB,IO_L23P_T3_A03_D19_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T14,out<11>,IOB,IO_L14P_T2_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T15,out<12>,IOB,IO_L14N_T2_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T16,out<14>,IOB,IO_L15N_T2_DQS_DOUT_CSO_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T17,,,GND,,,,,,,,,,,,
T18,inp4<17>,IOB,IO_L7N_T1_D10_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
U1,,IOB33M,IO_L7P_T1_34,UNUSED,,34,,,,,,,,,
U2,,IOB33M,IO_L9P_T1_DQS_34,UNUSED,,34,,,,,,,,,
U3,inp4<16>,IOB,IO_L8N_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
U4,,IOB33M,IO_L8P_T1_34,UNUSED,,34,,,,,,,,,
U5,,,VCCO_34,,,34,,,,,1.80,,,,
U6,inp1<12>,IOB,IO_L22N_T3_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
U7,inp1<11>,IOB,IO_L22P_T3_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
U8,inp3<1>,IOB,IO_25_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
U9,inp1<9>,IOB,IO_L21P_T3_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
U10,,,GND,,,,,,,,,,,,
U11,out<22>,IOB,IO_L19N_T3_A09_D25_VREF_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U12,out<23>,IOB,IO_L20P_T3_A08_D24_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U13,out<30>,IOB,IO_L23N_T3_A02_D18_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U14,out<27>,IOB,IO_L22P_T3_A05_D21_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U15,,,VCCO_14,,,14,,,,,1.80,,,,
U16,out<19>,IOB,IO_L18P_T2_A12_D28_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U17,out<17>,IOB,IO_L17P_T2_A14_D30_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U18,out<18>,IOB,IO_L17N_T2_A13_D29_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V1,,IOB33S,IO_L7N_T1_34,UNUSED,,34,,,,,,,,,
V2,inp4<21>,IOB,IO_L9N_T1_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
V3,,,GND,,,,,,,,,,,,
V4,inp4<20>,IOB,IO_L10N_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
V5,inp4<26>,IOB,IO_L10P_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
V6,inp1<8>,IOB,IO_L20N_T3_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
V7,inp1<7>,IOB,IO_L20P_T3_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
V8,,,VCCO_34,,,34,,,,,1.80,,,,
V9,inp1<10>,IOB,IO_L21N_T3_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
V10,out<25>,IOB,IO_L21P_T3_DQS_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V11,out<26>,IOB,IO_L21N_T3_DQS_A06_D22_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V12,out<24>,IOB,IO_L20N_T3_A07_D23_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V13,,,GND,,,,,,,,,,,,
V14,out<28>,IOB,IO_L22N_T3_A04_D20_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V15,out<15>,IOB,IO_L16P_T2_CSI_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V16,out<16>,IOB,IO_L16N_T2_A15_D31_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V17,out<20>,IOB,IO_L18N_T2_A11_D27_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V18,,,VCCO_14,,,14,,,,,1.80,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
